Nb elements;CPU Time
64;5.759000
128;25.520000
192;85.209000
256;204.944992
320;433.121979
384;756.089050
448;1235.431885
512;2318.941895
576;2714.489990
640;3778.209961
704;5002.896973
768;7296.783691
832;8416.494141
896;10568.464844
960;13013.191406
1024;24908.503906
1088;19203.119141
1152;23166.511719
1216;27366.214844
1280;44069.089844
1344;36319.375000
1408;45471.183594
1472;55876.960938
1536;103317.406250
1600;81994.976562
1664;106783.929688
1728;109129.023438
1792;175311.546875
1856;139387.968750
1920;183749.687500
1984;173559.296875
2048;437572.593750
